img,attack,log10_pvalue,R,marked,param0
0,none,-68.82598951762714,11530438.0,True,-1.0
0,meme_format,-42.38607671756454,1282286.75,True,-1.0
0,overlay_onto_screenshot,-3.1194153030555696,-17824.94140625,False,-1.0
0,rotation,-68.82598951762714,11530438.0,True,0.0
0,rotation,-36.94947957958421,2274773.75,True,5.0
0,rotation,-36.11605036415222,2018249.5,True,10.0
0,rotation,-31.67886345871093,1601601.25,True,15.0
0,rotation,-35.290336290127016,1766254.375,True,20.0
0,rotation,-31.12522446437987,1310769.375,True,25.0
0,rotation,-29.075449435953114,1282462.5,True,30.0
0,rotation,-27.827860533279303,1057393.5,True,35.0
0,rotation,-28.011999845692273,1068383.25,True,40.0
0,center_crop,-7.710838365260703,578057.875,True,0.1
0,center_crop,-12.45565754283263,1254112.625,True,0.2
0,center_crop,-19.835587038121606,2038207.625,True,0.30000000000000004
0,center_crop,-27.222429428823038,2947910.75,True,0.4
0,center_crop,-34.08511424383019,2775668.5,True,0.5
0,center_crop,-28.941615643803917,2083224.125,True,0.6000000000000001
0,center_crop,-42.71975163836888,4087838.0,True,0.7000000000000001
0,center_crop,-38.52888925781504,2573356.0,True,0.8
0,center_crop,-40.004083458525514,2473209.75,True,0.9
0,center_crop,-68.82598951762714,11530438.0,True,1.0
0,resize,-0.25334724902208505,-1676412.75,False,0.1
0,resize,-0.21948753150478298,-810421.0,False,0.2
0,resize,-2.061686815271848,-390498.8125,False,0.30000000000000004
0,resize,-3.7864375427551398,-194482.25,False,0.4
0,resize,-10.383053555768907,275166.46875,True,0.5
0,resize,-18.98451535635798,833639.25,True,0.6000000000000001
0,resize,-29.227075820190006,1707908.375,True,0.7000000000000001
0,resize,-37.86211705589979,2534694.25,True,0.8
0,resize,-41.55331947160861,2816038.5,True,0.9
0,resize,-68.82598951762714,11530438.0,True,1.0
0,blur,-66.34605926313539,9453125.0,True,3.0
0,blur,-64.15397969039441,7886088.0,True,5.0
0,blur,-59.50967170363136,6204872.5,True,7.0
0,blur,-55.47271428763154,4752920.0,True,9.0
0,blur,-49.54099652041015,3685747.75,True,11.0
0,blur,-42.94359226923281,2734971.0,True,13.0
0,blur,-33.24053646773918,1879072.75,True,15.0
0,blur,-23.150810876451516,1090904.75,True,17.0
0,blur,-15.568258975596338,546403.4375,True,19.0
0,jpeg,-0.7953503342667958,-209152.5625,False,10.0
0,jpeg,-2.4780462798399263,-147345.609375,False,20.0
0,jpeg,-6.189338034157378,7483.890625,True,30.0
0,jpeg,-8.664876070621913,115413.375,True,40.0
0,jpeg,-10.861446928380179,211664.0,True,50.0
