# confidence = 1 - 10^(log10_pvalue)
# matched = confidence > threshold
# threshold = 0.95
index,filename,carrier_name,R,log10_pvalue,confidence,matched
0,"0_'attack'_ 'blur', 'kernel_size'_ 11.png",carrier_0bit_2026_Watermark,3685747.75,-49.54099652041015,1.0,True
1,"0_'attack'_ 'blur', 'kernel_size'_ 13.png",carrier_0bit_2026_Watermark,2734971.0,-42.94359226923281,1.0,True
2,"0_'attack'_ 'blur', 'kernel_size'_ 15.png",carrier_0bit_2026_Watermark,1879072.75,-33.24053646773918,1.0,True
3,"0_'attack'_ 'blur', 'kernel_size'_ 17.png",carrier_0bit_2026_Watermark,1090904.75,-23.150810876451516,1.0,True
5,"0_'attack'_ 'blur', 'kernel_size'_ 3.png",carrier_0bit_2026_Watermark,9453125.0,-66.34605926313539,1.0,True
6,"0_'attack'_ 'blur', 'kernel_size'_ 5.png",carrier_0bit_2026_Watermark,7886088.0,-64.15397969039441,1.0,True
7,"0_'attack'_ 'blur', 'kernel_size'_ 7.png",carrier_0bit_2026_Watermark,6204872.5,-59.50967170363136,1.0,True
8,"0_'attack'_ 'blur', 'kernel_size'_ 9.png",carrier_0bit_2026_Watermark,4752920.0,-55.47271428763154,1.0,True
9,"0_'attack'_ 'brightness', 'brightness_factor'_ 0.5.png",carrier_0bit_2026_Watermark,8668899.0,-66.27777558071863,1.0,True
10,"0_'attack'_ 'brightness', 'brightness_factor'_ 1.0.png",carrier_0bit_2026_Watermark,11530438.0,-68.82598951762714,1.0,True
11,"0_'attack'_ 'brightness', 'brightness_factor'_ 1.5.png",carrier_0bit_2026_Watermark,9315923.0,-62.70204515990179,1.0,True
12,"0_'attack'_ 'brightness', 'brightness_factor'_ 2.0.png",carrier_0bit_2026_Watermark,6013157.0,-50.242960376461,1.0,True
15,"0_'attack'_ 'center_crop', 'scale'_ 0.30000000000000004.png",carrier_0bit_2026_Watermark,2038207.625,-19.835587038121606,1.0,True
16,"0_'attack'_ 'center_crop', 'scale'_ 0.4.png",carrier_0bit_2026_Watermark,2947910.75,-27.222429428823038,1.0,True
17,"0_'attack'_ 'center_crop', 'scale'_ 0.5.png",carrier_0bit_2026_Watermark,2775668.5,-34.08511424383019,1.0,True
18,"0_'attack'_ 'center_crop', 'scale'_ 0.6000000000000001.png",carrier_0bit_2026_Watermark,2083224.125,-28.941615643803917,1.0,True
19,"0_'attack'_ 'center_crop', 'scale'_ 0.7000000000000001.png",carrier_0bit_2026_Watermark,4087838.0,-42.71975163836888,1.0,True
20,"0_'attack'_ 'center_crop', 'scale'_ 0.8.png",carrier_0bit_2026_Watermark,2573356.0,-38.52888925781504,1.0,True
21,"0_'attack'_ 'center_crop', 'scale'_ 0.9.png",carrier_0bit_2026_Watermark,2473209.75,-40.004083458525514,1.0,True
22,"0_'attack'_ 'center_crop', 'scale'_ 1.0.png",carrier_0bit_2026_Watermark,11530438.0,-68.82598951762714,1.0,True
24,"0_'attack'_ 'contrast', 'contrast_factor'_ 0.5.png",carrier_0bit_2026_Watermark,8742782.0,-63.675319652528316,1.0,True
25,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.0.png",carrier_0bit_2026_Watermark,11530438.0,-68.82598951762714,1.0,True
26,"0_'attack'_ 'contrast', 'contrast_factor'_ 1.5.png",carrier_0bit_2026_Watermark,3832973.25,-51.61393447376542,1.0,True
27,"0_'attack'_ 'contrast', 'contrast_factor'_ 2.0.png",carrier_0bit_2026_Watermark,1555745.0,-35.37716101450008,1.0,True
28,"0_'attack'_ 'hue', 'hue_factor'_ -0.25.png",carrier_0bit_2026_Watermark,2955240.25,-46.1162514159717,1.0,True
29,"0_'attack'_ 'hue', 'hue_factor'_ -0.5.png",carrier_0bit_2026_Watermark,2375554.0,-41.63679246647244,1.0,True
30,"0_'attack'_ 'hue', 'hue_factor'_ 0.0.png",carrier_0bit_2026_Watermark,11426679.0,-68.77478079389509,1.0,True
31,"0_'attack'_ 'hue', 'hue_factor'_ 0.2.png",carrier_0bit_2026_Watermark,5332030.5,-51.68011409641431,1.0,True
32,"0_'attack'_ 'hue', 'hue_factor'_ 0.25.png",carrier_0bit_2026_Watermark,4761718.0,-52.01081790721773,1.0,True
33,"0_'attack'_ 'hue', 'hue_factor'_ 0.5.png",carrier_0bit_2026_Watermark,2400308.0,-41.78256677630687,1.0,True
35,"0_'attack'_ 'jpeg', 'quality'_ 100.png",carrier_0bit_2026_Watermark,9207107.0,-65.5741348164547,1.0,True
41,"0_'attack'_ 'jpeg', 'quality'_ 70.png",carrier_0bit_2026_Watermark,713581.625,-20.818118044576348,1.0,True
42,"0_'attack'_ 'jpeg', 'quality'_ 80.png",carrier_0bit_2026_Watermark,1584785.75,-35.06036145605102,1.0,True
