video_name,frame_index,encode_type,key_used,decoded_bits,recovered_bits,matched_bits,hamming_distance,similarity,raw_msg,is_exact_match
0_encoded,0,multibit,video_Watermark,10000111001000101000000111011111100010100110011010110010,100001110010001010000001,,29,,,False
0_encoded,1,multibit,video_Watermark,10000111001000101010000111011010100010100110011010110110,100001110010001010100001,,29,,,False
0_encoded,2,multibit,video_Watermark,00000111011000101110110111011000000011000110011011011010,000001110110001011101101,01000001011011000110110000000000010011010101101111001001,22,0.6071428571428572,All,False
0_encoded,3,multibit,video_Watermark,00000111011000001110010111011000100011000110011011110110,000001110110000011100101,,24,,,False
0_encoded,4,multibit,video_Watermark,01000111011000011110001111001101100000000110000010101010,010001110110000111100011,01110010011001010111001101100101110000010110000010101000,13,0.7678571428571428,reserved,False
0_encoded,5,multibit,video_Watermark,00000111011000101010000111011010000000000110011010111110,000001110110001010100001,,27,,,False
0_encoded,6,multibit,video_Watermark,00000111011000101010001111011010000010000110011000111110,000001110110001010100011,,28,,,False
0_encoded,7,multibit,video_Watermark,01000111011010101000000011000000000001000010011001110110,010001110110101010000000,01100010011110010000000000000000101001010000011001110101,15,0.7321428571428572,by,False
0_encoded,8,multibit,video_Watermark,00000111011010101111000001010000010000100110001111111010,000001110110101011110000,01101110011010010111010001110000010100111101000111011001,18,0.6785714285714286,nitphen,False
0_encoded,9,multibit,video_Watermark,00000111011010100110110011000000000011010100001111001010,000001110110101001101100,01000001011011000110110000000000010011010101101111001001,12,0.7857142857142857,All,False
0_encoded,10,multibit,video_Watermark,10000111001000101010011111011010000001000010001011100110,100001110010001010100111,,29,,,False
0_encoded,11,multibit,video_Watermark,10000111001000101110001111011010000000000010011010101110,100001110010001011100011,,27,,,False
0_encoded,12,multibit,video_Watermark,00000111011010111110011111011000111011000011100111110110,000001110110101111100111,01110010011010010110011101101000111111011001100111110110,14,0.75,rights,False
0_encoded,13,multibit,video_Watermark,00010111011001011110001111011101110010000110001011100010,000101110110010111100011,01110010011001010111001101100101110000010110000010101000,16,0.7142857142857143,reserved,False
0_encoded,14,multibit,video_Watermark,00000111011010010000000101000000100001010010011011110110,000001110110100100000001,01100010011110010000000000000000101001010000011001110101,12,0.7857142857142857,by,False
0_encoded,15,multibit,video_Watermark,10000111001000101010000111011010000011000010111011110010,100001110010001010100001,,28,,,False
0_encoded,16,multibit,video_Watermark,10000111001000101010000111011010001010000010011010110110,100001110010001010100001,,27,,,False
0_encoded,17,multibit,video_Watermark,00000111001010101110000111011000000000100110011111010010,000001110010101011100001,,25,,,False
